Model,R2_Score,MSE,EVS
Linear Regression Feature 1,-0.14593419419526765,15487.65962062328,-0.00318238184845665
Linear Regression Feature 2,0.8913045259365643,1469.0533829291774,0.9223973415055434
Linear Regression Feature 3,0.04253284257890555,12940.468577671909,0.055178925480782626
Multiple Linear Regression,0.9888920743152528,150.12709540215292,0.989021488042964
Polynomial Regression (Degree 2) Feature 1,-0.08912575166834191,14719.875723527317,0.060781129178639315
Polynomial Regression (Degree 2) Feature 2,0.8957782382882766,1408.5897590187699,0.9214868213158418
Polynomial Regression (Degree 2) Feature 3,0.044795291232914924,12909.890875357125,0.0563221115303717
Polynomial Regression (Degree 3) Feature 1,-0.08000409338241288,14596.593654256912,0.06702497950535558
Polynomial Regression (Degree 3) Feature 2,0.869061807863359,1769.6706856506535,0.9046182708499982
Polynomial Regression (Degree 3) Feature 3,0.03713296838392488,13013.449569032218,0.0458658492363726
